COMID,terminal_COMID
2682816,2682856
2682844,2682856
2682876,2682856
2682856,2682856
2682920,2682920
2682920,2682920
2678762,2678762
2678760,2678762
2678142,2678762
2678148,2678762
2678126,2678762
2678134,2678762
2678094,2678762
2678072,2678762
2678084,2678762
2678076,2678762
24893424,2678762
2678014,2678762
2676474,2678762
2676448,2678762
2676398,2678762
2677610,2678762
2677606,2678762
2676376,2678762
2676368,2678762
2677926,2678762
2678394,2678762
2676400,2678762
2676380,2678762
2676348,2678762
2676340,2678762
2676310,2678762
2676262,2678762
2677482,2678762
2676450,2678762
2676416,2678762
2676394,2678762
2676358,2678762
2676344,2678762
2676314,2678762
2676274,2678762
2676222,2678762
2676212,2678762
2677512,2678762
2676150,2678762
2676144,2678762
2676112,2678762
2674172,2678762
2673774,2678762
2674404,2678762
2676062,2678762
2678040,2678762
2678096,2678762
2678060,2678762
2678098,2678762
2676564,2678762
2678074,2678762
2676518,2678762
2678066,2678762
2676472,2678762
2678062,2678762
2678054,2678762
2677612,2678762
2678056,2678762
24893428,2678762
2676324,2678762
2676426,2678762
2678022,2678762
2677554,2678762
2676280,2678762
2677532,2678762
2676322,2678762
2692018,2678762
2676226,2678762
2676200,2678762
2676180,2678762
2676158,2678762
2676066,2678762
2673778,2678762
2674370,2678762
2673692,2678762
2673684,2678762
2673598,2678762
2674096,2678762
2674086,2678762
2673548,2678762
2673540,2678762
2674340,2678762
2673500,2678762
2673492,2678762
2673490,2678762
2673486,2678762
2674034,2678762
2676182,2678762
2676124,2678762
2676094,2678762
2678712,2678762
2677932,2678762
2677480,2678762
2677478,2678762
2679212,2678762
2677624,2678762
2678058,2678762
2677632,2678762
2676506,2678762
2676492,2678762
2676464,2678762
2677642,2678762
2676546,2678762
2676486,2678762
2677618,2678762
2676484,2678762
2677622,2678762
2677590,2678762
2677588,2678762
2677562,2678762
2678008,2678762
2676282,2678762
2676522,2678762
2677654,2678762
2677650,2678762
2676332,2678762
2677600,2678762
2677980,2678762
2677572,2678762
2676318,2678762
2677564,2678762
2676254,2678762
2676242,2678762
2676128,2678762
2676122,2678762
2673656,2678762
2673728,2678762
2674134,2678762
2673650,2678762
2673636,2678762
2673554,2678762
2676536,2678762
2678070,2678762
2673546,2678762
2673586,2678762
2677568,2678762
2674078,2678762
2673530,2678762
2673652,2678762
2673686,2678762
2676836,2678762
2678144,2678762
2678146,2678762
2677672,2678762
2678136,2678762
2678138,2678762
2676662,2678762
2678086,2678762
2676560,2678762
24893366,2678762
2676648,2678762
2678102,2678762
2676462,2678762
2676530,2678762
2676544,2678762
2677616,2678762
2676428,2678762
2676408,2678762
2676404,2678762
2678414,2678762
2676432,2678762
2678416,2678762
2676460,2678762
2679314,2678762
2679374,2678762
2679400,2678762
2681748,2678762
2679388,2678762
2676312,2678762
2678404,2678762
2676390,2678762
2677604,2678762
2676496,2678762
2677628,2678762
2676538,2678762
2677626,2678762
2677634,2678762
2676510,2678762
2678130,2678762
2677640,2678762
2677630,2678762
2676540,2678762
2678420,2678762
2676534,2678762
2678418,2678762
24893368,2678762
2676360,2678762
2677542,2678762
2677530,2678762
2676232,2678762
2678748,2678762
2677496,2678762
2673572,2678762
2673594,2678762
2673534,2678762
2674038,2678762
2673506,2678762
2674300,2678762
2673622,2678762
2674114,2678762
2673638,2678762
2673596,2678762
2673696,2678762
2674390,2678762
2676070,2678762
2673752,2678762
2676078,2678762
2673782,2678762
2676072,2678762
2673766,2678762
2673780,2678762
2676120,2678762
2673784,2678762
2691988,2678762
2676082,2678762
2673748,2678762
2676096,2678762
2676208,2678762
2677946,2678762
2676218,2678762
2679258,2678762
2680916,2678762
2679266,2678762
2676192,2678762
2679236,2678762
2680892,2678762
2680678,2678762
2681550,2678762
2674898,2678762
2675368,2678762
2674894,2678762
2675394,2678762
2675322,2678762
2674888,2678762
2675308,2678762
2675310,2678762
2675318,2678762
2675366,2678762
2674878,2678762
2675364,2678762
2674864,2678762
2675360,2678762
2674872,2678762
2673786,2678762
2677468,2678762
2673768,2678762
2676204,2678762
2676252,2678762
2676234,2678762
2677574,2678762
2678398,2678762
2677576,2678762
2678006,2678762
2676328,2678762
2678402,2678762
2676620,2678762
2678426,2678762
2676588,2678762
2678422,2678762
2678042,2678762
2676524,2678762
2676452,2678762
2676466,2678762
2677620,2678762
